psi_n              ni(m-3)            ne(m-3)            ti(eV)             te(eV)             wexb(rad/s)
4.248496990E-01    1.066519580E+21    1.066519580E+21    7.203650880E+01    7.203650880E+01    2.277020046E+03 
4.268537070E-01    1.064390190E+21    1.064390190E+21    7.192912260E+01    7.192912260E+01    2.269086173E+03 
4.288577150E-01    1.062260800E+21    1.062260800E+21    7.182130580E+01    7.182130580E+01    2.261152299E+03 
4.308617230E-01    1.060131410E+21    1.060131410E+21    7.171305600E+01    7.171305600E+01    2.253218441E+03 
4.328657310E-01    1.058002020E+21    1.058002020E+21    7.160437030E+01    7.160437030E+01    2.245284567E+03 
4.348697390E-01    1.055872640E+21    1.055872640E+21    7.149524630E+01    7.149524630E+01    2.237350693E+03 
4.368737470E-01    1.053743250E+21    1.053743250E+21    7.138568130E+01    7.138568130E+01    2.229416835E+03 
4.388777560E-01    1.051613860E+21    1.051613860E+21    7.127567250E+01    7.127567250E+01    2.221482977E+03 
4.408817640E-01    1.049484470E+21    1.049484470E+21    7.116521740E+01    7.116521740E+01    2.213549103E+03 
4.428857720E-01    1.047355080E+21    1.047355080E+21    7.105431310E+01    7.105431310E+01    2.205615229E+03 
4.448897800E-01    1.045225690E+21    1.045225690E+21    7.094295690E+01    7.094295690E+01    2.197681355E+03 
4.468937880E-01    1.043096300E+21    1.043096300E+21    7.083114610E+01    7.083114610E+01    2.189747497E+03 
4.488977960E-01    1.040966910E+21    1.040966910E+21    7.071887780E+01    7.071887780E+01    2.181813623E+03 
4.509018040E-01    1.038837530E+21    1.038837530E+21    7.060614930E+01    7.060614930E+01    2.173879765E+03 
4.529058120E-01    1.036708140E+21    1.036708140E+21    7.049295770E+01    7.049295770E+01    2.165945891E+03 
4.549098200E-01    1.034578750E+21    1.034578750E+21    7.037930020E+01    7.037930020E+01    2.158012017E+03 
4.569138280E-01    1.032449360E+21    1.032449360E+21    7.026517380E+01    7.026517380E+01    2.150078159E+03 
4.589178360E-01    1.030319970E+21    1.030319970E+21    7.015057570E+01    7.015057570E+01    2.142144285E+03 
4.609218440E-01    1.028190580E+21    1.028190580E+21    7.003550300E+01    7.003550300E+01    2.134210427E+03 
4.629258520E-01    1.026061190E+21    1.026061190E+21    6.991995260E+01    6.991995260E+01    2.126276554E+03 
4.649298600E-01    1.023931800E+21    1.023931800E+21    6.980392160E+01    6.980392160E+01    2.118342696E+03 
4.669338680E-01    1.021802410E+21    1.021802410E+21    6.968740700E+01    6.968740700E+01    2.110408822E+03 
4.689378760E-01    1.019673030E+21    1.019673030E+21    6.957040570E+01    6.957040570E+01    2.102474948E+03 
4.709418840E-01    1.017543640E+21    1.017543640E+21    6.945291480E+01    6.945291480E+01    2.094541074E+03 
4.729458920E-01    1.015414250E+21    1.015414250E+21    6.933493110E+01    6.933493110E+01    2.086607216E+03 
4.749499000E-01    1.013284860E+21    1.013284860E+21    6.921645150E+01    6.921645150E+01    2.078673358E+03 
4.769539080E-01    1.011155470E+21    1.011155470E+21    6.909747290E+01    6.909747290E+01    2.070739484E+03 
