

  ylabel = xi^psi_m

                      psi                      m=1                      m=2                      m=3                      m=4                      m=5                      m=6                      m=7                      m=8
          9.881380366E-04          1.028816757E-04          5.774605422E-06          1.895211555E-07          1.400973575E-08          1.753923446E-08          1.967143014E-09          1.330318631E-09          2.256582682E-10
          1.017353682E-03          1.044582453E-04          5.952848294E-06          1.883446653E-07          1.367310874E-08          1.739129276E-08          1.950040119E-09          1.377561919E-09          2.244136419E-10
          1.046569327E-03          1.060121388E-04          6.130901645E-06          1.875273251E-07          1.334143062E-08          1.721399691E-08          1.932431755E-09          1.421810533E-09          2.230381901E-10
          1.075784972E-03          1.075452994E-04          6.308767354E-06          1.870566784E-07          1.301521839E-08          1.701189017E-08          1.914335575E-09          1.462886474E-09          2.215318787E-10
          1.109251306E-03          1.092780980E-04          6.512284437E-06          1.869252080E-07          1.264879986E-08          1.675524943E-08          1.893042475E-09          1.505893730E-09          2.196472992E-10
          1.142717641E-03          1.109877370E-04          6.715564365E-06          1.872067807E-07          1.229059203E-08          1.647718281E-08          1.871197458E-09          1.544509780E-09          2.175976234E-10
          1.176183976E-03          1.126757653E-04          6.918613549E-06          1.878770229E-07          1.194094223E-08          1.618274900E-08          1.848861261E-09          1.578726757E-09          2.153901391E-10
          1.209650311E-03          1.143434014E-04          7.121439227E-06          1.889110090E-07          1.160006968E-08          1.587642462E-08          1.826100176E-09          1.608606185E-09          2.130354030E-10
          1.243116645E-03          1.159915930E-04          7.324049321E-06          1.902836950E-07          1.126808125E-08          1.556216429E-08          1.802983454E-09          1.634245163E-09          2.105457172E-10
          1.276582980E-03          1.176210663E-04          7.526452306E-06          1.919702737E-07          1.094498410E-08          1.524343115E-08          1.779581570E-09          1.655786415E-09          2.079364138E-10
          1.310049315E-03          1.192323669E-04          7.728657126E-06          1.939463999E-07          1.063070043E-08          1.492325858E-08          1.755964537E-09          1.673383927E-09          2.052237154E-10
