 IPEC_PMODB_CHEBYSHEV: Reconstructed perturbed mod b by chebyshev
 
    jac_out = hamada  
      cstep =    256      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)       real(divx)       imag(divx)
   2.41376325E-02   15  -5.40902177E-07  -7.21833151E-07   1.57699501E-06   2.00439246E-06
   2.41376325E-02   16  -6.90852936E-07  -5.39436167E-07   1.55539397E-06   1.70659293E-06
   2.41376325E-02   17  -3.84747535E-07  -4.67137608E-07   1.08697587E-06   1.32497260E-06
   2.41376325E-02   18  -3.61505224E-07  -3.53101278E-07   8.96842548E-07   1.00181105E-06
   2.41376325E-02   19  -1.87462891E-07  -2.23389542E-07   5.50073803E-07   4.88716959E-07
   2.41376325E-02   20  -1.31401576E-08  -4.08412557E-08  -1.69851828E-06  -1.59225243E-06
   2.79939046E-02  -12   1.42272128E-07  -1.23350054E-07  -3.45477668E-07   2.37205733E-07
   2.79939046E-02  -11   1.38117004E-07  -9.14254921E-08  -3.63980373E-07   1.11974206E-08
   2.79939046E-02  -10   4.97953996E-07   3.95703993E-07  -9.93496333E-07  -7.78070169E-07
   2.79939046E-02   -9   3.58622584E-07   7.21319871E-08  -1.08214592E-06  -5.20087438E-07
   2.79939046E-02   -8   8.34831724E-07   9.05439341E-07  -1.63319843E-06  -1.76690166E-06
   2.79939046E-02   -7   5.94715515E-07   5.85758465E-08  -1.99828157E-06  -8.01577672E-07
   2.79939046E-02   -6   9.74478642E-07   2.07517942E-06  -1.63048438E-06  -3.99486325E-06
   2.79939046E-02   -5   2.01628167E-07  -6.30034670E-07  -1.74845560E-06  -6.39417702E-08
   2.79939046E-02   -4   7.85643499E-07   4.30299946E-06  -3.05553499E-07  -8.61621369E-06
   2.79939046E-02   -3  -5.47792414E-07  -4.96351844E-07  -8.30172448E-07  -1.41878129E-07
   2.79939046E-02   -2   3.18689077E-06  -4.13060929E-06  -2.56243813E-07  -3.63881382E-06
   2.79939046E-02   -1  -1.06619318E-05   3.69716013E-05  -5.85907282E-05   5.72886955E-05
   2.79939046E-02    0   1.08738241E-03  -1.73266122E-03  -1.63852541E-03   2.52434490E-03
